,"gas_feed temperature, C","gas_feed pressure, kPa","gas_feed mass flow, kg/h","gas_feed actual liquid flow, m3/h","gas_feed actual vapour flow, m3/h",gas_feed Methane mass frac,gas_feed Ethane mass frac,gas_feed Propane mass frac,gas_feed i-Butane mass frac,gas_feed n-Butane mass frac,gas_feed i-Pentane mass frac,gas_feed n-Pentane mass frac,"gas_feed Methane mass flow, kg/h","gas_feed Ethane mass flow, kg/h","gas_feed Propane mass flow, kg/h","gas_feed i-Butane mass flow, kg/h","gas_feed n-Butane mass flow, kg/h","gas_feed i-Pentane mass flow, kg/h","gas_feed n-Pentane mass flow, kg/h","1 actual vapour flow, m3/h","1 mass flow, kg/h"
548439,0.0,4827.0,9248.0,7.415359584115301,109.21159915454112,0.4900932382904527,0.0604008461104681,0.0604908431516694,0.09220711720448,0.2729406418132886,0.015507726140272,0.0083595872893691,4532.382267710107,558.587024829609,559.4193174666386,852.731419907031,2524.155055489293,143.41545134523545,77.30946325208544,109.2115991545411,5454.250961964542
64977,-24.0,4128.0,17285.0,8.648948498865654,283.3596102601716,0.6327865281809351,0.0936265477005945,0.0553498878450698,0.0840804276500086,0.1169973850647349,0.0069663206421047,0.010192902916552,10937.715139607462,1618.334877004776,956.7228114020314,1453.3301919303988,2022.2998008439426,120.41285229877974,176.1843269126013,283.3596102601716,12746.7157241001
600484,3.0,4035.0,8426.0,7.078446906542066,110.0168613557302,0.3989937193196727,0.1628486701184163,0.0436024429908502,0.1440713166853925,0.2403730107212296,0.0054789043537057,0.0046319358107329,3361.9210789875624,1372.1628944177758,367.3941846409038,1213.9449143911172,2025.3829883370806,46.165248084324226,39.02869114123542,110.0168613557302,4834.762327587574
287162,-15.0,3883.0,22145.0,23.62815617416047,236.58777485694577,0.3945324677272442,0.0892737004703659,0.1090417951140219,0.079439308826372,0.3115568420736492,0.0046522198783714,0.011503665909975,8736.921497819823,1976.9660969162528,2414.730552800015,1759.1834939600078,6899.426267720962,103.02340920653465,254.74868157639636,236.5877748569457,9700.24200412758
76208,10.0,4864.0,24981.0,7.165091653583252,396.35873673727633,0.5482109107293808,0.1534620692448155,0.1017669541289588,0.0273000136848357,0.1526645716677115,0.0081468181754865,0.0084486623688109,13694.856760930661,3833.635951804736,2542.2402810955195,681.9816418608806,3813.7136648311007,203.51566484182825,211.05603463526506,396.35873673727633,21494.128000734298
611476,-10.0,4191.0,23584.0,9.28894131415072,403.78067156495433,0.5712444234326786,0.1876268408407219,0.0382124291586739,0.0891698896052643,0.095096006588242,0.0079769822129522,0.010673428161467,13472.22848223629,4424.991414387585,901.2019292781653,2102.9826764505533,2242.7442193770994,188.12914851026468,251.72212976003772,403.78067156495433,18869.62149365611
59502,-3.0,4674.0,28199.0,22.593917314449453,339.8706547209338,0.4871976901192075,0.0761766513609394,0.0641762141901831,0.0764127686328135,0.2599629205335189,0.0172743162836758,0.0187994388796616,13738.487663671533,2148.10539172713,1809.7050639489732,2154.763662676708,7330.694396124699,487.11844488337385,530.1253769675774,339.8706547209339,16551.30575090657
483488,-4.0,4259.0,8075.999999999999,7.514085926004566,92.08291606286348,0.4104412504413106,0.1323908268102434,0.0973785688353383,0.1003354778746492,0.2458549023409509,0.0083730328873819,0.0052259408101253,3314.723538564024,1069.1883173195256,786.429321914192,810.3093193156669,1985.5241913055193,67.62061359849622,42.20469798257192,92.08291606286348,4278.794354012517
28616,3.0,4608.0,24697.0,10.12127021230302,384.4555392540567,0.5388359760082652,0.1534899995500792,0.0392789116373245,0.2169508582522087,0.0250629864857156,0.0183712286890231,0.0080100393773833,13307.632099476124,3790.7425188883058,970.0712807070031,5358.035346254798,618.9805772377182,453.7142349328035,197.82394250323537,384.4555392540567,19706.770390877977
4900,-24.0,3785.0,26797.0,24.32110304031477,349.2401145837344,0.4939655823591043,0.0207304171280325,0.0702877999574976,0.1613113295996906,0.2304014738147264,0.0138308119493644,0.0094725851915839,13236.795710476918,555.5129877798869,1883.502175461063,4322.659699282909,6174.068293813223,370.6242678071178,253.83686537887377,349.2401145837344,13495.520591346023
42679,-13.0,4025.0,20899.0,11.229608668721658,353.546403867967,0.5863654649348574,0.0660990864546676,0.0864274157769355,0.213621058359072,0.0186843799624062,0.0145690492160721,0.0142335452959891,12254.451851673584,1381.4048078160981,1806.246562322175,4464.466498646246,390.4848568343272,304.4785595666908,297.46686314087617,353.546403867967,15060.09810989248
511115,4.0,3926.0,20091.0,12.63293331835671,320.14605363536634,0.4565497446762121,0.1409067177703752,0.0644025353142447,0.238196232792113,0.0667907976834428,0.0170554298339442,0.0160985419296678,9172.540920289777,2830.956866724608,1293.9113369984902,4785.600513026342,1341.8939162580493,342.6606407937729,323.43580590895573,320.14605363536634,13674.049319256395
375731,-9.0,3986.0,29093.0,31.5328095360889,297.71486832126345,0.3653160544083184,0.1423642037006919,0.0381059078221379,0.2585735062907081,0.1766994090874861,0.0147344580237515,0.004206460666906,10628.139970901206,4141.801778264229,1108.615176269458,7522.6790185155705,5140.715908582233,428.66958728500236,122.37856018229624,297.71486832126345,12893.861826849485
318829,-22.0,3505.0,16531.0,14.372235719521978,243.27486436216805,0.4901931344752944,0.0314903988949536,0.0938642042681781,0.0810484687558275,0.2770872603304577,0.0119107252150131,0.0144058080602752,8103.382706011092,520.567784132478,1551.669160757252,1339.8122370025844,4580.529500522796,196.89619852938156,238.14241304440935,243.274864362168,8616.339658735698
78396,-6.0,4754.0,13861.0,18.031403303132176,93.41829550827087,0.3264048891189713,0.1367957406848431,0.1095191145032219,0.1093204195262355,0.3031775516165955,0.0057323328766551,0.0090499516734774,4524.298168078061,1896.1257616326102,1518.0444461291586,1515.2903350531503,4202.34404295763,79.45586600331634,125.44138014607023,93.41829550827087,4984.454389451774
586493,-1.0,4811.0,7184.0,5.199659687695182,83.38212049857454,0.4499340928937463,0.1955430047282683,0.0596667889712059,0.2436824175219761,0.0240047725345687,0.0142890491503308,0.0128798741999033,3232.3265233486736,1404.7809459678795,428.64621196914317,1750.6144874778763,172.45028588834154,102.65252909597646,92.52901625210531,83.38212049857454,4711.337519162869
76127,-17.0,4669.0,9485.0,10.840388370461358,77.14525385732321,0.4085243126584116,0.0695578238902463,0.0235565824031471,0.2296315130649219,0.2436861820035454,0.0146076879638215,0.0104358980159061,3874.853105565034,659.7559595989861,223.43418409385023,2178.0549014207845,2311.363436303628,138.55392033684691,98.98449268086937,77.14525385732321,3850.283007908779
385321,-18.0,4411.0,8103.000000000001,8.742248781484761,74.98580629253614,0.4223971399545612,0.0744655708678481,0.0950412078149195,0.0866181406529781,0.2935468799778504,0.0153489366160033,0.0125821241158392,3422.68402505181,603.3945207421732,770.1189069242928,701.8667937110816,2378.610368460522,124.37243339947474,101.95295171064504,74.98580629253614,3548.442940122984
168998,-7.0,4898.0,6426.0,4.292691407632825,82.41088630658408,0.5641463525613938,0.0334053274449385,0.1015265192112484,0.1020253388599844,0.1632166320512145,0.0195529431606166,0.0161268867106035,3625.2044615595164,214.66263416117482,652.4094124514822,655.6148275142598,1048.8300775611044,125.64721275012226,103.63137400233809,82.41088630658408,4227.17506579319
97726,-16.0,3831.0,15540.0,11.761689690348836,227.55432755209955,0.4946439007972845,0.1126106544771602,0.0885546665742619,0.2277279683806027,0.0588202227157569,0.0086039022439222,0.0090386848110113,7686.766218389801,1749.9695705750696,1376.13951856403,3538.892628634566,914.0662610028621,133.704640870551,140.4611619631156,227.55432755209955,9470.790193166178
