,"gas_feed temperature, C","gas_feed pressure, kPa","gas_feed mass flow, kg/h",gas_feed Methane mass frac,gas_feed Ethane mass frac,gas_feed Propane mass frac,gas_feed i-Butane mass frac,gas_feed n-Butane mass frac,gas_feed i-Pentane mass frac,gas_feed n-Pentane mass frac,"gas_feed Methane mass flow, kg/h","gas_feed Ethane mass flow, kg/h","gas_feed Propane mass flow, kg/h","gas_feed i-Butane mass flow, kg/h","gas_feed n-Butane mass flow, kg/h","gas_feed i-Pentane mass flow, kg/h","gas_feed n-Pentane mass flow, kg/h","gas_feed actual liquid flow, m3/h","gas_feed actual vapour flow, m3/h"
120155,-2.0,3662.0,8841.0,0.3418926000213202,0.2041143237072141,0.095664355471394,0.1292744656480065,0.2086887796673001,0.0100174297786732,0.0103480457060916,3022.672476788492,1804.57473589548,845.7685667225943,1142.9155507940254,1845.0175010386001,88.56409667324976,91.48707208755584,8.583997264624855,108.7126618141778
267307,-21.0,3644.0,7542.999999999999,0.5308435738281129,0.0580106976557222,0.0981117026532004,0.0394989543091012,0.2498716670940022,0.0100950884082921,0.0135683160515689,4004.1530773854547,437.5746924171125,740.0565731130906,297.9406123535503,1884.7819848900583,76.1472518637473,102.3458079769842,5.640323291830674,119.14432609889064
349023,-9.0,4266.0,6237.0,0.3580352504787372,0.1265428349457337,0.0347718026262746,0.1970373670205013,0.2656256816881357,0.0063104174344005,0.0116766458062169,2233.065857235884,789.2476615565412,216.87173298007468,1228.9220581068664,1656.7073766889025,39.358073538355924,72.82723989337481,7.193253778067556,55.25520619901809
467611,-2.0,4128.0,24218.0,0.5596951363063808,0.090403425679941,0.1210350866326297,0.1040341503469953,0.1081335739108058,0.0103708745508407,0.0063277525724066,13554.69681106793,2189.390163116811,2931.227728069026,2519.4990531035323,2618.778892971895,251.16183987226006,153.24551179854305,11.0124288381032,421.77191467261486
105416,-23.0,4837.0,13830.0,0.4308332613742864,0.1788514200732474,0.107800606279169,0.0553050419926835,0.2028453826512528,0.0146981699397573,0.0096661176896032,5958.424004806381,2473.5151396130113,1490.8823848409072,764.8687307588127,2805.351642066826,203.27569026684347,133.68240764721224,15.543364270558572,109.12762849970292
310076,-17.0,3845.0,25610.0,0.4819510691451586,0.1226020169192045,0.1101733596226048,0.1283154983214411,0.1315612676694668,0.0134220042254429,0.011974784096681,12342.766880807512,3139.8376533008272,2821.539739934909,3286.1599120121064,3369.2840650150447,343.73752821359267,306.67422071600043,20.285883750423963,360.0343165861438
284148,-15.0,4149.0,20389.0,0.5527217908408752,0.0508526393981727,0.0726052294563563,0.0369394502537624,0.2619336287691888,0.0167973229790634,0.0081499383025807,11269.444593454606,1036.8344646893431,1480.3480233856485,753.1584512239615,5340.564756974991,342.48061822012363,166.1690920513179,14.34965605857423,298.60903184875167
132972,-22.0,3590.0,21738.0,0.356987938647629,0.0574074096436619,0.0896158164304992,0.2217341629770931,0.2650260669096527,0.0055758556613387,0.0036527497301251,7760.203810322159,1247.9222708339223,1948.0686175661917,4820.05723479605,5761.13664248203,121.20795036618067,79.40347363345943,26.05857554515507,206.2715530086789
465456,10.0,4564.0,16360.0,0.4659892167732122,0.0950779670161065,0.0297349699104951,0.1526029183489757,0.2442936742814531,0.0067756392672482,0.0055256144025089,7623.583586409752,1555.4755403835024,486.4641077356998,2496.5837441892427,3996.6445112445726,110.84945841218055,90.3990516250456,11.64392461095759,219.42281051399064
535952,-23.0,4264.0,10740.0,0.4822570926047303,0.0842431459647243,0.0696874962483567,0.0788634321322599,0.2681457155850582,0.0070287004912791,0.0097744169735913,5179.441174574804,904.771387661139,748.443709707351,846.9932611004713,2879.884985383525,75.48824327633753,104.97723829637057,9.98453176999331,119.02383925225882
342944,-10.0,3580.0,10410.0,0.4499923095767277,0.0939829537334027,0.0518784918859435,0.1436922598182739,0.242578516854953,0.0090105389748918,0.0088649291558067,4684.419942693736,978.362548364722,540.0551005326718,1495.8364247082313,2525.242360460061,93.79971072862364,92.28391251194775,8.775647613695694,155.23916936014706
