,"4 temperature, C","4 pressure, kPa","4 mass flow, kg/h",4 Methane mass frac,4 Ethane mass frac,4 Propane mass frac,4 i-Butane mass frac,4 n-Butane mass frac,4 i-Pentane mass frac,4 n-Pentane mass frac,Q-104,"5 temperature, C","5 pressure, kPa","5 mass flow, kg/h",5 Methane mass frac,5 Ethane mass frac,5 Propane mass frac,5 i-Butane mass frac,5 n-Butane mass frac,5 i-Pentane mass frac,5 n-Pentane mass frac,"16 temperature, C","17 temperature, C","16 mass flow, kg/h","17 mass flow, kg/h",16 Methane mass frac,16 Ethane mass frac,16 Propane mass frac,16 i-Butane mass frac,16 n-Butane mass frac,16 i-Pentane mass frac,16 n-Pentane mass frac
372556,-12.0,2064.0,7591.0,0.6606059257740503,0.0868662894056369,0.1508940154228012,0.0706976289217299,0.0059363605933518,0.0066612104931813,0.0183385693892482,124.9481446930235,-31.0,3706.0,1555.0,0.1125263588266611,0.0288826001958267,0.1158378918228102,0.4670920864729878,0.1982276845174021,0.0086758614457902,0.0687575167185218,-12.804259957016145,67.24654396705438,7506.562930282625,1639.4370697173754,0.6891263178570495,0.0879479349604123,0.1452299536135565,0.0605684605819996,0.0046896424458314,0.0037483091472136,0.0086893813939369
37679,-27.0,2752.0,10573.0,0.6636575017098871,0.1093460062006178,0.0708769507553418,0.0964993167761446,0.0276928534792893,0.0171459489519444,0.0147814221267746,316.39018106387306,-38.0,4021.0,3501.0,0.0539673658636818,0.0807524673619665,0.0611542122550747,0.3974340353782942,0.292924544681818,0.0402397706170594,0.0735276038421051,-32.68416344982012,51.790267376249744,9115.182996774369,4958.817003225631,0.7841376000745905,0.1157038787241079,0.0511395399143752,0.0380457370249421,0.0078958152819529,0.0019277581232825,0.0011496708567487
407305,-29.0,2183.0,7954.0,0.5740306056604315,0.1154855387047397,0.1121108924320045,0.1449912655250984,0.0339534167807974,0.0099408478112055,0.0094874330857229,432.6223250435644,-41.0,4810.0,4732.0,0.07825208507321,0.0930561704609756,0.1070787305480822,0.0918695644892256,0.4480940182039308,0.0926908038160956,0.08895862740848,-30.54342563905365,53.88236366410069,6503.917035220505,6182.0829647794935,0.750186970805653,0.1257137747252855,0.0710378204858023,0.0444379573200214,0.0072861043605644,0.0008060916633952,0.0005312806392778
93904,-23.0,2304.0,10953.0,0.639309906285381,0.0788545898283494,0.1048068397672617,0.1155178456391833,0.0466416962170955,0.0063656022305923,0.0085035200321363,482.3506948933449,3.0,3808.0,15795.0,0.0985882520419137,0.0788427294031328,0.2733771935464439,0.1231342600565022,0.3502194089971867,0.0333710471516722,0.042467108803148,-22.66235253691562,34.20943513913716,11186.370784055614,15561.629215944384,0.7381273092426919,0.0971926948058414,0.0881795190034433,0.0571381889032584,0.0173706327951242,0.0010168067411935,0.0009748485084469
567657,-44.0,2041.0,1171.0,0.7624400582435573,0.028602233267252,0.0663244921294582,0.0999437138611855,0.0193002804372441,0.0143142491619518,0.0090749728993509,561.77547377013,-2.0,4747.0,14089.0,0.2085686037878774,0.095983430179477,0.1045846494621661,0.2692296248998434,0.2938666452033793,0.0210897600495482,0.0066772864177084,-20.946664393361004,57.49748931107837,5148.220867751596,10111.779132248404,0.7254052649157328,0.1307847005998313,0.0580471336621493,0.0571854428561323,0.024676512442528,0.002676347016019,0.0012245985076067
549272,-50.0,2663.0,12966.0,0.6253738965424103,0.0652540408026155,0.1691076140625165,0.1021057853083319,0.0194446166856923,0.01225551496742,0.0064585316310131,361.6372117041917,-35.0,4054.0,1689.0,0.1431156797372353,0.0999813957821416,0.1328258310560084,0.4146842013462907,0.0916143788677239,0.0698825625473809,0.0478959506632188,-55.25858378808903,38.10420353606139,9375.921996517767,5279.078003482233,0.8829417378949749,0.0578041902338541,0.0483328733667023,0.0095367170780907,0.0011068160651655,0.0002087585711504,6.890679006172551e-05
229954,-16.0,2265.0,11078.0,0.7157658867028084,0.0316306314642561,0.0990980146407048,0.1074576556462062,0.0158296866173469,0.014545504796661,0.0156726201320163,759.8510599786913,-41.0,4069.0,10893.0,0.1444713716593926,0.0360793386018114,0.1319749607953725,0.472363907542648,0.0678271601936169,0.052155066621761,0.0951281945853972,-20.500695653058784,53.46879935714173,11744.841508639787,10226.158491360213,0.7964274930982143,0.0319462579073702,0.0847994211871919,0.0702467763860863,0.0087043876958487,0.0043271878420363,0.0035484758832522
402465,-32.0,2448.0,2812.0,0.6805075983362052,0.0640929516288581,0.1061564661182411,0.1133838436340126,0.0179434163558916,0.0041694698079779,0.0137462541188132,588.4983002726536,-50.0,4384.0,7782.0,0.158816089072095,0.0393507215294895,0.1150904763452291,0.4159143793804941,0.2065566026313807,0.0611536435179246,0.0031180875233868,-41.541524206112456,56.57286364050805,3582.103215357983,7011.896784642016,0.8540891585447165,0.0544890915537966,0.0572489839338085,0.0300188375636007,0.0032758057012839,0.0002744706161961,0.0006036520865976
452510,-22.0,2070.0,21052.0,0.5979513082113771,0.1292602727158231,0.1177030651487552,0.1190336959115878,0.0173325916590766,0.0084013322734847,0.0103177340798952,1519.907935835828,-47.0,3532.0,23500.0,0.1455879214672623,0.0474389114392458,0.1636868721894133,0.41578142864677,0.1008588044456512,0.0438477049389664,0.0827983568726908,-25.38070214507252,36.64790582750197,21530.413849558707,23021.586150441304,0.7223584839747166,0.1262931566415463,0.0878359060561767,0.0549279054150355,0.00611783177702,0.0013088843508669,0.0011578317846376
17944,-21.0,2671.0,12922.0,0.756103419714714,0.0713830330604343,0.0522506344718371,0.0434336517553814,0.0374970536899738,0.0213195704028357,0.0180126369048233,1212.3835021851755,-33.0,4775.0,18467.0,0.0981835361042324,0.0829875446550065,0.1357876373603308,0.2239718527774739,0.4323328651510105,0.0210732987454769,0.0056632652064688,-26.40679086628944,55.29995539955064,13908.55326372736,17480.446736272635,0.821077310187563,0.0767102488526816,0.0453806690720009,0.0279011068257687,0.0197459295683706,0.0056636687214955,0.0035210667721193
