,"1 temperature, C","1 pressure, kPa","1 mass flow, kg/h",1 Methane mass frac,1 Ethane mass frac,1 Propane mass frac,1 i-Butane mass frac,1 n-Butane mass frac,1 i-Pentane mass frac,1 n-Pentane mass frac,"3 temperature, C","3 pressure, kPa",Q-100
593288,37.99999999995868,4896.0,1460.0,0.6352211187479759,0.1408134924393601,0.1263571953599941,0.04473477695087,0.0282440557852442,0.0079996227163362,0.0166297380002193,-3.805094170797986,2209.0,24.14765787005763
431977,-3.0,4761.0,18877.84328558892,0.7523228944721065,0.0417448534014392,0.1030458631964932,0.0781349756918721,0.0144902412974783,0.0052409435276785,0.0050202284129322,-32.227186387672845,2155.0,281.5008836876259
562871,37.99999999994117,4804.0,20700.000000000004,0.6487702169517575,0.0922016178929271,0.1238479127925771,0.0833815554720972,0.0113825398072468,0.018469165839179,0.021946991244215,3.2900634289325126,2443.0,294.3485354934492
378536,44.0,4722.0,19044.0,0.7254839954902597,0.120502225554747,0.03344229676411,0.0672492656751425,0.0274510797214047,0.0132211472264897,0.0126499895678462,2.669785740523821,2215.0,337.1568874082368
23366,-14.0,4626.0,7649.264519484681,0.7770688740137068,0.0682135759263913,0.085764619618064,0.0542496012538553,0.0082552979577807,0.0040073674321137,0.0024406637980879,-39.71041790874455,2364.0,94.06873658749828
121687,-7.0,4349.0,18953.64340171384,0.7295300064756107,0.095213469271798,0.0929061004494219,0.0492755794643997,0.02593231979962,0.0034569874611973,0.003685537077952,-34.643440249555425,2061.0,262.58978908197605
129453,35.0,3890.0,19539.0,0.5450921151927429,0.1425123983996377,0.1857655603487683,0.0742151274550627,0.0073219853495349,0.0195731999900446,0.0255196132642087,4.824192328248557,2047.0,244.3956596698881
290395,13.0,3952.0,16788.0,0.6591296626921538,0.0637340304501422,0.1485878920257225,0.0952138091941026,0.0094552587126168,0.0059753694792084,0.0179039774460534,-5.361355953694158,2505.0,150.78269282141991
528999,32.0,4456.0,14715.000000000002,0.6492628139980915,0.0471300289025145,0.138644428891889,0.1153156999057496,0.0281085430446273,0.0053591541468251,0.0161793311103025,-1.2861593930148274,2179.0,214.51105519126213
400026,18.99999999997158,3959.0,7649.0,0.7584863013730814,0.0515139381814449,0.0535917908471222,0.0783797728983313,0.0249990555731946,0.0149707207578945,0.018058420368931,-3.075678239187255,2558.0,74.24453430215544
262927,38.00000000000091,3796.0,15141.0,0.7141771301540478,0.0311535358094725,0.1524920320910331,0.0593670426888367,0.0148560263878366,0.0094676330875838,0.0184865997811892,10.050290392697889,2251.0,183.6331368779065
406315,27.99999999985323,4878.0,22411.0,0.681586000983108,0.0276856720670246,0.1357921042841238,0.0934931222116389,0.0295943383346207,0.0184502066155282,0.0133985555039556,-0.9954293671940492,2565.0,294.43363926116217
151162,-24.0,4876.0,11903.779081491444,0.8124683634895675,0.0879259530774587,0.0485477362107287,0.0362855577509822,0.0098122814395357,0.0030533132827041,0.001906794749023,-51.09553941107379,2515.0,137.4212401608802
