,"gas_feed temperature, C","gas_feed pressure, kPa","gas_feed mass flow, kg/h",gas_feed Methane mass frac,gas_feed Ethane mass frac,gas_feed Propane mass frac,gas_feed i-Butane mass frac,gas_feed n-Butane mass frac,gas_feed i-Pentane mass frac,gas_feed n-Pentane mass frac,"gas_feed Methane mass flow, kg/h","gas_feed Ethane mass flow, kg/h","gas_feed Propane mass flow, kg/h","gas_feed i-Butane mass flow, kg/h","gas_feed n-Butane mass flow, kg/h","gas_feed i-Pentane mass flow, kg/h","gas_feed n-Pentane mass flow, kg/h","gas_feed actual liquid flow, m3/h","gas_feed actual vapour flow, m3/h","1 actual vapour flow, m3/h"
81269,-25.0,4731.0,14535.999999999998,0.6156205097205196,0.1717903120588527,0.0517498961567333,0.1177920154516288,0.0261201356114462,0.012266439425921,0.0046606915748981,8948.659729297473,2497.1439760874828,752.236490534275,1712.2247366048762,379.6822912479819,178.30496349518765,67.74781273271877,7.035088799092103,194.918964370538,194.918964370538
594273,-19.0,4316.0,5865.0,0.5039819121787638,0.0212640844477931,0.0521659142411056,0.1612579993603747,0.2453909699104048,0.0064705463141802,0.0094685735473776,2955.8539149284493,124.71385528630654,305.95308702408437,945.7781662485976,1439.2180385245242,37.949754132666875,55.53318385536963,5.284902296962302,68.48167937266302,68.48167937266302
148946,5.0,4883.0,23701.0,0.3675525425676667,0.116815710676593,0.0426613502788121,0.1538556119831349,0.2945225213439473,0.0125662701972195,0.0120259929526263,8711.362811396268,2768.6491587459304,1011.1166629581255,3646.5318596122806,6980.478278372895,297.83316994429936,285.02805897019596,25.81021727436469,206.11020377835663,206.11020377835663
468906,-20.0,3515.0,28835.000000000004,0.5320816132390136,0.109736599376383,0.0267216989876688,0.2207931406193763,0.0952461152811768,0.0073153881568803,0.0081054443395012,15342.57331774696,3164.254843018004,770.52019030943,6366.570209759717,2746.4217341327335,210.93921750364348,233.72048752951713,19.478280527955203,496.152652727915,496.152652727915
477484,-17.0,4296.0,29182.000000000004,0.3240727563280903,0.1738515684168088,0.0550395823745516,0.2153560383683412,0.2118498762686744,0.0135911114590609,0.0062390667844724,9457.091175166332,5073.336469539315,1606.165092854165,6284.519911664934,6182.203089272457,396.61581459831524,182.0684469044736,38.5695073745015,201.2904341513716,201.2904341513716
428549,-18.0,4677.0,24600.0,0.4842479582034393,0.1003246599712929,0.0493998942407789,0.0392805943869642,0.3011981042665553,0.0142939539242983,0.011254835006671,11912.499771804607,2467.9866352938056,1215.237398323161,966.3026219193193,7409.47336495726,351.63126653773816,276.8689411641066,22.435076919341675,254.8106397475597,254.8106397475597
304963,8.0,4653.0,26141.0,0.4453697301840145,0.1267107774642052,0.1146986986549866,0.2397597569215615,0.0618273133932154,0.0075694820447702,0.0040642413372462,11642.410116740322,3312.346433691788,2998.3386815400045,6267.559805686539,1616.2277994120439,197.87383013233782,106.24333279695293,17.943267411884513,331.78819685503896,331.7881968550389
170240,-5.0,3956.0,16437.0,0.4829527850672123,0.135522843036594,0.0957511195211681,0.2443060094000066,0.0215406151111053,0.0099760861139856,0.0099505417499278,7938.294928149769,2227.588970992496,1573.8611515694402,4015.6578765079084,354.0630905812378,163.97692745558132,163.55705474356327,10.556813445076482,254.52972436356,254.52972436356
303120,8.0,4843.0,13944.0,0.6001847669832635,0.1871564714940893,0.076277080088786,0.0477538506639331,0.0664143023875862,0.0106200089491241,0.0115935194332177,8368.976390814627,2609.709838513581,1063.607604758032,665.8796936578832,926.0810324925019,148.08540478658645,161.6600349767876,1.01935502103223,247.57951205309809,247.57951205309809
501599,-25.0,4728.0,7501.000000000001,0.3037118716905519,0.1366768600513669,0.0959568431859124,0.2031577509110978,0.2365950096723599,0.0145708140572796,0.0093308504314312,2278.14274955083,1025.2131272453032,719.772280737529,1523.8862895841448,1774.6991675523718,109.2956762436543,69.99070908616544,11.632828033558276,31.54478470358544,31.54478470358544
