,"gas_feed temperature, C","gas_feed pressure, kPa","gas_feed mass flow, kg/h",gas_feed Methane mass frac,gas_feed Ethane mass frac,gas_feed Propane mass frac,gas_feed i-Butane mass frac,gas_feed n-Butane mass frac,gas_feed i-Pentane mass frac,gas_feed n-Pentane mass frac,"1 mass flow, kg/h","2 mass flow, kg/h",1 Methane mass frac,1 Ethane mass frac,1 Propane mass frac,1 i-Butane mass frac,1 n-Butane mass frac,1 i-Pentane mass frac,1 n-Pentane mass frac,2 Methane mass frac,2 Ethane mass frac,2 Propane mass frac,2 i-Butane mass frac,2 n-Butane mass frac,2 i-Pentane mass frac,2 n-Pentane mass frac
188316,-6.0,4899.0,8739.0,0.6999231989083416,0.0646385588683686,0.0706380769328437,0.1271519994132905,0.0100914278918529,0.0129577682576625,0.0145989697276399,7883.835020741074,855.1649792589106,0.7629321411912925,0.0663784881421928,0.0628054454975271,0.0910071156786581,0.0063780399038081,0.0054041881405306,0.0050945814459908,0.1190386703807001,0.0485980103481583,0.1428477388250065,0.4603746022081899,0.0443254517069025,0.0825948335067832,0.1022206930242595
190358,49.0,3771.0,2490.0,0.7005459582978723,0.1336285793932102,0.0401602383525842,0.0911817208449338,0.0199596368650799,0.0086013199230283,0.0059225463232911,2490.0,0.0,0.7005459582978723,0.1336285793932102,0.0401602383525842,0.0911817208449338,0.0199596368650799,0.0086013199230283,0.0059225463232911,0.7004830010739684,0.1336414772908224,0.0401692199447579,0.091209499530272,0.0199665543961841,0.0086049880052707,0.0059252597587241
511359,-18.0,3913.0,21938.0,0.6258089994968283,0.1405574246550509,0.0995463237756337,0.0787998064803113,0.0282946196230847,0.0120961419158175,0.0148966840532733,18235.41225802497,3702.587741975015,0.7303170185437632,0.1437701703383679,0.0734871158563372,0.0373263630890003,0.0106216393012952,0.00230576343578,0.0021719294354559,0.1111022742555744,0.1247345067127402,0.2278891025675497,0.2830583928270044,0.1153348478241012,0.0603141991738872,0.0775666766391428
261246,39.0,4400.0,8992.0,0.7424762229183066,0.0793762999940071,0.090763092368912,0.0606636148022406,0.0113351178740109,0.0049321593721659,0.0104534926703566,8991.999999999998,0.0,0.7424762229183066,0.0793762999940071,0.090763092368912,0.0606636148022406,0.0113351178740109,0.0049321593721659,0.0104534926703566,0.1770049978656052,0.0687861650388869,0.2054950315058434,0.2745333340645882,0.0662841318474557,0.0575760200809096,0.1503203195967107
401715,19.0,4508.0,21009.0,0.6010017928184652,0.072934063507364,0.1877638687406672,0.0871000819671453,0.0190835667202804,0.0080022098308445,0.0241144164152334,20905.41352335604,103.5864766439694,0.6035801034546154,0.0731059193739614,0.1873665098345159,0.0862821438127808,0.0188187072942523,0.0077413692431997,0.0231052469866742,0.0806573252133785,0.0382507913850627,0.2679572735113524,0.2521731292172386,0.0725364498191702,0.0606440268426652,0.2277810040111321
551703,-17.0,3696.0,19734.0,0.7179242890999646,0.1350610616763007,0.0309079931897842,0.0886321208876636,0.0068034403351523,0.0065414054104397,0.0141296894006949,18560.93338278009,1173.066617219907,0.757337626592378,0.1371598221206248,0.0279970268615796,0.065587355426022,0.0044351457659875,0.0027145811458098,0.0047684420875982,0.0943038392030626,0.1018532691931818,0.07696697339107,0.4532596282060611,0.0442759564598078,0.0670916156037352,0.1622487179430811
502075,-9.0,4786.0,9113.0,0.7497538192872535,0.0527050742782969,0.0757933985673647,0.0778332061569632,0.0158795540326121,0.0191252604774628,0.0089096872000464,8574.962366257587,538.0376337423995,0.7894460239804884,0.0535386158327623,0.0700923392629331,0.0617165560191927,0.0114529591607091,0.0098358012240566,0.0039177045198577,0.1171602233507581,0.0394205249977269,0.166653899613111,0.33469194564745,0.0864283076081097,0.1671758028656862,0.088469295917158
595719,22.0,4223.0,9642.0,0.6832784955712713,0.0637558880182977,0.102738483832602,0.1125745145812858,0.0068954530654825,0.0225693234864694,0.0081878414445913,9642.0,0.0,0.6832784955712713,0.0637558880182977,0.102738483832602,0.1125745145812858,0.0068954530654825,0.0225693234864694,0.0081878414445913,0.087265582032215,0.0344382314914071,0.1606059496734627,0.3749039755797553,0.0307706855925083,0.2133542426949769,0.0986613329356743
130068,33.0,4281.0,4644.0,0.6225945821398291,0.0998019893881915,0.1478010899832281,0.0846064877529068,0.0283292900277201,0.0080704620563301,0.0087960986517941,4644.0,0.0,0.6225945821398291,0.0998019893881915,0.1478010899832281,0.0846064877529068,0.0283292900277201,0.0080704620563301,0.0087960986517941,0.1023577147071737,0.0626276861123979,0.2490248463569544,0.2881845801102835,0.1264974534424886,0.0726031617219517,0.0987045575487501
374593,35.0,4633.0,22656.0,0.6553755260497308,0.0328877915751382,0.1174259200910777,0.1469859181909266,0.0204496795928985,0.0107482125424659,0.016126951957762,22656.0,0.0,0.6553755260497308,0.0328877915751382,0.1174259200910777,0.1469859181909266,0.0204496795928985,0.0107482125424659,0.016126951957762,0.094445599902898,0.0176757306580882,0.1667592263850975,0.4177234325227615,0.0758015416269072,0.0794854626159789,0.1481090062882685
