,"gas_feed temperature, C","gas_feed pressure, kPa","gas_feed mass flow, kg/h",gas_feed Methane mass frac,gas_feed Ethane mass frac,gas_feed Propane mass frac,gas_feed i-Butane mass frac,gas_feed n-Butane mass frac,gas_feed i-Pentane mass frac,gas_feed n-Pentane mass frac,"1 mass flow, kg/h","2 mass flow, kg/h",1 Methane mass frac,1 Ethane mass frac,1 Propane mass frac,1 i-Butane mass frac,1 n-Butane mass frac,1 i-Pentane mass frac,1 n-Pentane mass frac
263883,11.0,3534.0,17157.0,0.6699930730943362,0.13961299608259,0.0790405327591485,0.0729425058366986,0.0048653310832947,0.0130228843306094,0.0205226768133223,17157.0,0.0,0.6699930730943362,0.13961299608259,0.0790405327591485,0.0729425058366986,0.0048653310832947,0.0130228843306094,0.0205226768133223
259779,2.0,3906.0,10757.0,0.6443034496382979,0.0723386578525598,0.0993171590657045,0.1166564062507453,0.0379339723290403,0.0158591167673744,0.0135912380962778,9737.382260128194,1019.6177398718096,0.703219698653802,0.0754492656085088,0.0922388710455932,0.0899780737566909,0.0262419426582416,0.0074595034660095,0.0054126448111537
546181,-9.0,4842.0,1423.0,0.5861834934122805,0.1209063597414178,0.1229936232892201,0.1167467965248286,0.0322201375280803,0.0158719017593415,0.0050776877448312,1122.6282849401912,300.3717150598008,0.7077478137648404,0.1246736532584986,0.0916410395830571,0.058260684248442,0.0131461826744164,0.003609107481842,0.0009215189889031
528599,-23.0,4667.0,12402.0,0.6857236380339463,0.1009224081466384,0.0413114252434878,0.1207151855558164,0.0120037553303289,0.0223765845792096,0.016947003110572,10137.133699210735,2264.866300789259,0.8073548780327112,0.10145677617231,0.0287420935428771,0.0523259303371932,0.0040795679128136,0.0038310871776595,0.0022096668244351
375990,13.0,4379.0,4656.0,0.5742322148357997,0.1415899592082365,0.1290034086401004,0.0900034909924724,0.0348704379347361,0.0157138935698999,0.0145865948187546,4455.629076618906,200.3709233810937,0.5963467910154758,0.1442779690851614,0.1257415825532862,0.0817332752001695,0.0303475628195346,0.0115891863474172,0.009963632978955
269673,30.0,3831.0,18970.0,0.5228855498952162,0.1245412403607267,0.1543583786341643,0.1535342386913238,0.0094635117748594,0.0153618450026906,0.0198552356410188,18970.0,0.0,0.5228855498952162,0.1245412403607267,0.1543583786341643,0.1535342386913238,0.0094635117748594,0.0153618450026906,0.0198552356410188
185477,-1.0,4894.0,18781.0,0.6007130916550949,0.1142651101822004,0.1728770009367168,0.0439128665870497,0.024780365481637,0.0232315558984679,0.0202200092588331,16356.850489468286,2424.1495105317085,0.6725122078341735,0.1180511668512118,0.1496262009294398,0.0297234643638548,0.0146535656475889,0.0089274532169752,0.0065059411567557
385672,49.0,3945.0,6492.0,0.6384619390746746,0.1254595813233901,0.050203781869791,0.1287629760504837,0.032542414356128,0.0132555144777955,0.0113137928477367,6491.999999999999,0.0,0.6384619390746746,0.1254595813233901,0.050203781869791,0.1287629760504837,0.032542414356128,0.0132555144777955,0.0113137928477367
385604,3.0,4639.0,6756.0,0.5463997913843289,0.1215722731302411,0.1597950732716889,0.1413027452198226,0.0105295295632747,0.0062790845639391,0.0141215028667044,5645.967158832909,1110.0328411670905,0.6326611973059556,0.127560220199559,0.1362345269830086,0.0912809506805492,0.0058847259592441,0.0022160884456204,0.0041622904260629
526484,1.0,4552.0,18813.0,0.7392921087904772,0.0325392371241635,0.1038654636799416,0.0569073068760657,0.0382794362315996,0.0219091617052968,0.0072072855924553,18223.07251204207,589.9274879579337,0.7600873437012008,0.0329505043404893,0.1010823080769044,0.0517303067822498,0.0333035413905012,0.0160158816652794,0.0048301140433748
296940,8.0,4403.0,4792.0,0.6942584363031991,0.1147603510152361,0.0441763920892307,0.1047385750409683,0.0272657599567485,0.0074833740313052,0.0073171115633118,4792.0,0.0,0.6942584363031991,0.1147603510152361,0.0441763920892307,0.1047385750409683,0.0272657599567485,0.0074833740313052,0.0073171115633118
