,"4 temperature, C","4 pressure, kPa","4 mass flow, kg/h",4 Methane mass frac,4 Ethane mass frac,4 Propane mass frac,4 i-Butane mass frac,4 n-Butane mass frac,4 i-Pentane mass frac,4 n-Pentane mass frac,Q-104,"5 temperature, C","5 pressure, kPa","5 mass flow, kg/h",5 Methane mass frac,5 Ethane mass frac,5 Propane mass frac,5 i-Butane mass frac,5 n-Butane mass frac,5 i-Pentane mass frac,5 n-Pentane mass frac,"16 temperature, C","17 temperature, C"
59907,-30.0,2616.0,23551.0,0.6150973318916959,0.1006415157699056,0.093234376670999,0.1359973569896443,0.0318356326391557,0.0160417381589416,0.0071520478796574,1174.4275237109807,-5.0,4732.0,24613.0,0.0936646955853243,0.0826751830261987,0.0478178391827402,0.4729442565166764,0.2389671260567366,0.0340878955123413,0.0298430041199823,-34.01408188658496,42.77518490948836
314511,-36.0,2034.0,8182.0,0.6296573073509203,0.0310029612276005,0.1343998723306007,0.1496819204423093,0.0237162072028428,0.0121982357391311,0.0193434957065949,904.2193123403777,-17.0,4488.0,13502.0,0.1732151446448047,0.0195108188228494,0.1012697265629187,0.2849898322783296,0.3351154725130234,0.0038439937598044,0.0820550114182695,-35.6478629345614,67.51500409497027
494498,-9.0,2088.0,18790.0,0.6419485562612406,0.1125213142993954,0.1157006258502457,0.083624018235296,0.0216796798803108,0.0076203317505059,0.0169054737230051,1574.0862196066832,-41.0,4869.0,21216.0,0.1460303505374745,0.0359799582289219,0.1522297977471781,0.0518693815883725,0.5177307794724356,0.0202931639854196,0.0758665684401975,-14.568324211309744,64.55913472018233
614570,-30.0,2058.0,4275.0,0.6603000152581543,0.0836279521991368,0.1264295315340101,0.073654091200505,0.0195244965399463,0.0228810437192487,0.0135828695489986,567.9205860853477,-18.0,3660.0,11828.0,0.154816932242978,0.1183402755493667,0.1463875315071766,0.3056390067255061,0.1936815072377657,0.0168130797864251,0.0643216669507816,-29.636934821056656,47.12715972830699
164331,-31.0,2431.0,3481.0,0.7169755221788563,0.0332848471735032,0.1154209688577268,0.0636314509528967,0.0418163791972961,0.0224410596674032,0.0064297719723173,1028.4706040579297,-47.0,4487.0,14701.0,0.0695273799616142,0.0958430451871883,0.0689103564461159,0.2471920840101232,0.4423722320692155,0.0228355298417449,0.0533193724839978,-35.578055121407544,53.48466037176229
709477,-48.0,2084.0,18660.0,0.7042423839882261,0.074157372055911,0.1415650519204172,0.0410816047172223,0.0116427091425628,0.0090014745710701,0.0183094036045902,1661.0925000626703,-17.0,4097.0,23408.0,0.1188097310010023,0.0234385610398182,0.1128106874734442,0.4038128663526519,0.2817112250182557,0.002309524949138,0.0571074041656894,-48.00716139720291,68.39596278626976
404836,-4.0,2310.0,3640.0,0.7103192228098056,0.0723789193539591,0.0705341364814208,0.1211234434630181,0.0062408199576105,0.0139753728701825,0.0054280850640032,194.81061555172508,-32.0,3955.0,4251.0,0.2909209495776502,0.1187449549062324,0.0703353355815171,0.1659607939646236,0.1397125734043386,0.1188930877061822,0.0954323048594558,-16.2408260111996,51.823882170237766
27464,-23.0,2653.0,13571.0,0.6705536727202399,0.0832373597389792,0.0853077144999546,0.1050442275609856,0.0234398376017279,0.0114816754056943,0.0209355124724183,344.38591926522133,-38.0,3993.0,3486.0,0.1525699352246645,0.0890465829654603,0.1341607934786461,0.4036238207087706,0.1633047443376876,0.0165048949301362,0.0407892283546343,-27.928152135191823,52.50199622895752
312738,-12.0,2515.0,14897.000000000002,0.7011544099627998,0.0919053101507415,0.0512076229094781,0.1139534878581017,0.0212474233811268,0.008169855961717,0.0123618897760352,707.9259101530174,-1.0,4068.0,13790.0,0.0889061664057987,0.070352278845288,0.1462836406301215,0.1943759595956601,0.4259168939013537,0.0372790239109383,0.0368860367108396,-15.136921656189486,61.9433073664348
740573,-34.0,2663.0,23270.0,0.6767654489169135,0.0463652918224515,0.1063649363638447,0.1171409386413026,0.0324553373210937,0.007344852118788,0.0135631948156057,399.2995481465467,5.0,4459.0,3646.0,0.0810454950995429,0.0855581359888637,0.1345821214960298,0.2016554032527859,0.4055781242655035,0.038031888273894,0.05354883162338,-38.844772656395975,44.42967718268704
558955,-11.0,2563.0,22433.0,0.6565189570502399,0.1363082430094678,0.0550426608433056,0.1032863351973139,0.0155257449092834,0.018610782497939,0.0147072764924502,1602.491903878131,-48.0,3755.0,23241.0,0.2008968007125891,0.0251991561795979,0.1888141938054946,0.1323665248172207,0.3418970021411975,0.033736159421623,0.0770901629222767,-20.94324109537561,52.26131773083205
458987,-4.0,2185.0,21244.0,0.7421530366406793,0.0468378575082654,0.068794836244765,0.0996039166792805,0.008043186866909,0.0162507689195957,0.0183163971405047,320.0875950217318,4.0,4324.0,7987.0,0.1737431712459173,0.1156677818341081,0.1330962961771267,0.3874102457419314,0.1543835788421147,0.0295313024560607,0.006167623702741,-5.212598471230535,59.08610380736218
165306,-2.0,2298.0,5506.0,0.7428310979533629,0.0219633736435485,0.0717570627099593,0.1230064305494825,0.0263553201439899,0.0058936247003924,0.0081930902992643,1216.445524529243,-43.0,4391.0,16748.0,0.1847038912447086,0.0102434428719501,0.0964369513892534,0.5516027266220491,0.0045823751913993,0.0712095445013057,0.0812210681793334,-20.98465170137624,67.91845485775576
551799,-33.0,2449.0,12268.0,0.5875716369118751,0.1034622555071945,0.1401382672471679,0.101022091510645,0.03281946069235,0.0174035453640566,0.0175827427667108,577.0650006625976,-38.0,3716.0,6796.0,0.1330265658904885,0.1487000023062,0.1022851883690426,0.0433558528635267,0.5011218668674194,0.0665764654185634,0.0049340582847591,-36.64923051669322,41.90067196942766
574494,-27.0,2792.0,19097.0,0.6675947875564019,0.0296012847258791,0.1749888934724032,0.1026015159262075,0.0103660679455656,0.006682068022113,0.0081653823514295,293.5362466609232,-44.0,3543.0,1216.0,0.1879603237469654,0.0155540228063768,0.179783799349395,0.3020968300789722,0.2808626064428034,0.0193078284455311,0.0144345891299558,-32.83248909689547,49.75106898788857
298294,-15.0,2599.0,6043.0,0.64609809919149,0.1315887251950716,0.0534776273867206,0.135192517814461,0.0211010325805185,0.0044872684286794,0.0080547294030587,1499.5361981293177,-50.0,4247.0,20749.0,0.0802248410616827,0.0823021980932755,0.052666346681122,0.3201526503739417,0.3722420542586163,0.0849237111777854,0.0074881983535763,-24.74562856970817,55.87900911371497
673941,-32.0,2016.0,9811.0,0.5499014048225564,0.0979498123108951,0.1345091577916975,0.1559214575554212,0.0090498756938907,0.0270914667882954,0.0255768250372432,797.3395935407117,-38.0,3825.0,11506.0,0.1904417709929668,0.1252009306455225,0.152506116799765,0.0716968774200291,0.3794675485553561,0.0206173350263721,0.060069420559988,-33.48414881098185,42.27561457472257
446615,-15.0,2578.0,17675.0,0.6373829624902998,0.0934130439079654,0.1137580398542529,0.1007337442500855,0.0205469643369919,0.0142214479667146,0.0199437971936896,790.24556108264,-9.0,4282.0,13488.0,0.0735647273641625,0.0678445324897705,0.15929937020163,0.3403609054486639,0.3204907978533489,0.0353852788737926,0.0030543877686312,-19.296502644792923,57.44059758848186
633079,-48.0,2532.0,24298.0,0.6593368974228688,0.1208620944258675,0.1098248048029226,0.0406333958978141,0.0315428281673649,0.0200889867397802,0.0177109925433813,1194.2793039188134,-2.0,4476.0,16778.0,0.11274320933012,0.0530547160293802,0.0499841670519978,0.4559620323049437,0.2322066605924786,0.0214698931568149,0.0745793215342646,-51.90625415972892,62.86652301450511
