,"4 temperature, C","4 pressure, kPa","4 mass flow, kg/h",4 Methane mass frac,4 Ethane mass frac,4 Propane mass frac,4 i-Butane mass frac,4 n-Butane mass frac,4 i-Pentane mass frac,4 n-Pentane mass frac,Q-104,"5 temperature, C","5 pressure, kPa","5 mass flow, kg/h",5 Methane mass frac,5 Ethane mass frac,5 Propane mass frac,5 i-Butane mass frac,5 n-Butane mass frac,5 i-Pentane mass frac,5 n-Pentane mass frac,"16 temperature, C","17 temperature, C","16 mass flow, kg/h","17 mass flow, kg/h"
688457,-8.0,2236.0,16410.0,0.6743998221705856,0.1081574239793993,0.0317681623675445,0.1368559753686829,0.0049762203712019,0.0226155261224331,0.0212268696201523,821.7946026618065,-24.0,3666.0,13312.0,0.1403269113530233,0.0687333857345986,0.094840601333373,0.1767499776714386,0.473370722958884,0.0079873560810214,0.0379910448676607,-11.36325696374496,60.129772986659816,17536.063255933877,12185.93674406612
728048,-50.0,2572.0,20369.0,0.7443256921372011,0.0821180650328074,0.0559250599755223,0.0650463201512733,0.0208638222697846,0.0197579281239778,0.0119631123094332,764.7464286954441,-36.0,4558.0,14291.0,0.125557946063689,0.1330454021587091,0.0576009261288055,0.6341841750990318,0.0339589802250169,0.0047274860127755,0.010925084311972,-54.47455334649285,20.762272746663086,18876.115061068453,15783.884938931547
129031,-14.0,2509.0,2660.0,0.6813752475311561,0.0861209580516274,0.1152351690397288,0.047748452528664,0.0349835965915465,0.0208878840032681,0.013648692254009,490.5952192158526,-34.0,4839.0,8675.0,0.1370338211784265,0.1204855655678546,0.1030420025488553,0.5475404229765829,0.0554129285292708,0.0227399152840439,0.0137453439149658,-25.24983785838592,43.15985715097287,3804.61967771762,7530.380322282382
91063,5.0,2799.0,16268.000000000002,0.5799979902298003,0.0864745748035333,0.1742852221030758,0.1204999672887731,0.0070975862269257,0.0235226304760167,0.0081220288718747,370.4801628049795,-44.0,4414.0,11346.0,0.1227600135831705,0.1066439803555026,0.091563507166683,0.575814909536519,0.0621914318224464,0.0382954468311063,0.002730710704572,-3.3587470768798084,-3.7142722832760455,16693.50979412876,10920.490205871236
265049,4.0,2052.0,1904.0,0.643515340725811,0.1034946397563113,0.0799464323822574,0.1134079007567165,0.017217114749919,0.022546601024748,0.0198719706042363,410.4102679484024,-24.0,4217.0,10839.0,0.1278573708303058,0.1118442789614825,0.0564429197154222,0.598207081385176,0.0711005343169529,0.0302964000998675,0.0042514146907928,-10.897919214490742,25.17298320495678,3368.2448018404475,9374.755198159552
529300,-24.0,2067.0,3213.0,0.6665103415461944,0.1133821371964688,0.1348685634289986,0.0391735355225274,0.0213430998410593,0.006534864571998,0.0181874578927534,814.2511571399866,-34.0,4893.0,12532.0,0.1272095949379598,0.018221620385978,0.2354287315702659,0.2968819040360074,0.171461729610489,0.0507845075215848,0.1000119119377149,-30.782765217680776,58.873592838112586,4601.177029292483,11143.822970707515
200260,-41.0,2042.0,15453.000000000002,0.5568892334039454,0.1579151366725924,0.1742232554126446,0.0452685823546475,0.0369192336883642,0.0093322773659424,0.0194522811018632,377.11802162848494,-28.0,3987.0,2767.0,0.0866337036518137,0.0677758291896416,0.0950480350744387,0.4104629033663631,0.3244356111483856,0.0064628611843071,0.0091810563850498,-41.361392199407646,35.20395447824444,11664.32648875854,6555.673511241461
562246,-6.0,2216.0,11029.0,0.711883449241321,0.1151198615126486,0.0451184315164921,0.0792781111865185,0.035097170556074,0.0062976562455165,0.007205319741429,1016.7326890275424,-43.0,3995.0,14328.0,0.1692559189630165,0.0118296262495559,0.0903145313228591,0.2484954166538681,0.3174815771790665,0.0679221345334714,0.0947007950981622,-15.736379273067882,67.30377303183093,13366.40585729559,11990.59414270441
181867,-42.0,2241.0,9468.0,0.6152046916990194,0.1022824047451946,0.1431221975086164,0.1021808703070157,0.0224460467398675,0.0064127667197963,0.00835102228049,713.9587363319993,-8.0,4668.0,15977.0,0.1215802016468233,0.0846041825652506,0.0708458329526202,0.3284985332068013,0.3545939215040521,0.0172008048555648,0.0226765232688876,-41.69300306600272,39.29322312384949,9452.536770500676,15992.463229499335
11961,-30.0,2436.0,3463.0,0.6420182034001306,0.1417122588053298,0.0972556644188435,0.0621543179365627,0.0344817096848412,0.0147389878076707,0.0076388579466214,867.5386518922298,-30.0,4269.0,21041.0,0.0963213594745157,0.0956270633665337,0.0412908511256769,0.2014839411029418,0.4793105708931913,0.0507702027285731,0.035196011308567,-36.09172380426071,26.67962057078995,5013.177448379184,19490.82255162081
659556,2.0,2631.0,2968.0,0.5875810682600057,0.1340253117288202,0.0538895903497685,0.168326282389094,0.0393384479876686,0.0061509999510004,0.0106882993336423,810.3975360256973,-31.0,4101.0,15775.0,0.125781574924588,0.1274550598397497,0.1768242864908147,0.2666025186398713,0.2161050235833145,0.0760315455741323,0.0111999909475293,-16.868476576896228,37.96548673560244,5043.810499962359,13699.189500037644
556729,-17.0,2208.0,24452.0,0.7091856807053505,0.0504526089983585,0.0977832957038681,0.0782930405687049,0.0271234787826456,0.0070163017458201,0.0301455934952524,571.616805850035,-1.0,4085.0,10850.0,0.2205092161888039,0.1115703712582,0.1196079118012326,0.0692478960501654,0.2968336075659231,0.0662306532302367,0.116000343905438,-17.784756845737462,66.92598780714832,25833.85987818204,9468.140121817964
78738,-44.0,2794.0,8120.0,0.7109526597881426,0.0522345189091897,0.1216295920313692,0.0478120031758929,0.0309995358780055,0.0165405554278318,0.0198311347895679,1104.8830515272236,-29.0,3859.0,18549.0,0.0727543875248539,0.0933019547902094,0.035010043526491,0.5703562818486722,0.1518549368313384,0.0637281379616634,0.0129942575167717,-48.29629176478548,48.76549509147452,7948.4366093587,18720.56339064131
94456,0.0,2707.0,16336.999999999998,0.7473224881948118,0.0390917554890473,0.0361127311554478,0.1253650249355232,0.0341486617608755,0.0081015320673159,0.0098578063969784,525.2556184366027,-5.0,3533.0,24648.0,0.1917305953285021,0.135522686988826,0.2244764799410321,0.1769509829958204,0.1011796317115603,0.1077328935125335,0.0624067295217253,-7.76693874359529,24.53692007938133,23527.970543062645,17457.02945693736
25487,-44.0,2023.0,18545.0,0.7243786810257357,0.0951375044179818,0.0455691074307683,0.0756824751043226,0.0245687736803174,0.0173283689883814,0.0173350893524928,759.0800886549972,-7.0,3612.0,9760.0,0.1388842424415294,0.0187130896241497,0.0474331451339445,0.4169309010521906,0.3444294818895716,0.0092236256139344,0.0243855142446795,-43.90671858274612,76.87557192192929,17413.57146377252,10891.428536227486
