,"1 temperature, C","1 pressure, kPa","1 mass flow, kg/h",1 Methane mass frac,1 Ethane mass frac,1 Propane mass frac,1 i-Butane mass frac,1 n-Butane mass frac,1 i-Pentane mass frac,1 n-Pentane mass frac,"3 temperature, C","3 pressure, kPa"
446892,7.0,4055.0,5685.046536160065,0.711639204912592,0.0887936416636758,0.0295552388829874,0.1325490777127037,0.0128488374551108,0.0093413681275958,0.015272631245334,-10.819360047682268,2539.0
265621,27.0,4793.0,14386.999999999998,0.6215307357013528,0.1310951687169685,0.1070909095727345,0.0977951821014025,0.0089545358731275,0.0161467141971097,0.0173867538373043,-2.9828016094310783,2482.0
162280,48.99999999999244,4436.0,19789.000000000004,0.6280107642227196,0.1383345246207546,0.1355936228336921,0.0400667068894488,0.0237129907845097,0.0219187060066067,0.0123626846422681,17.881859652259834,2504.0
226210,22.0,3569.0,16265.0,0.5799271469661927,0.1289173448194873,0.1422702500060015,0.0869535535170161,0.0236519684282853,0.0223132740286638,0.015966462234353,4.80251571128656,2388.0
235655,18.0,4161.0,4708.0,0.6588632167737692,0.0651887277576261,0.1323289449516303,0.0861145538901031,0.0254578876274858,0.0104354275430717,0.0216112414563134,-8.60512725141325,2109.0
562792,13.0,3772.0,24707.0,0.69334766305317,0.0907824967382203,0.0822769208646871,0.1008476683753776,0.0136438200396945,0.0118711578761972,0.0072302730526531,-6.790487738761556,2487.0
126074,11.999999999827764,4581.0,6525.0,0.7651000977115056,0.0674194199801291,0.04501733141475,0.0770934699859569,0.0259337205273007,0.0093223378917742,0.0101136224885831,-20.428794683826112,2221.0
39087,-5.0,4401.0,3860.5508884821984,0.7333778410495172,0.0708098281709844,0.120715066122014,0.0396932043737183,0.022938438618234,0.0100128316530323,0.0024527900124994,-29.237629699321985,2313.0
322726,-17.0,4032.0,14744.54323494356,0.7619683673743837,0.0726481908817569,0.1199762251114947,0.0367708390379221,0.0026590966690521,0.0043626936587461,0.001614587266644,-38.79493027407298,2245.0
564418,48.99999999988023,4837.0,19698.0,0.5896873612840242,0.1201963030558462,0.1142730646788314,0.1153054524715954,0.0296274973009601,0.0177001227278643,0.0132101984808784,14.141624601561716,2538.0
375641,9.0,4152.0,12254.159152804152,0.6050569894235116,0.1465300463719639,0.128967635088874,0.0750058363995333,0.0281887480495873,0.0076982614882115,0.0085524831783183,-11.747896608948793,2354.0
83203,22.0,4462.0,2109.0,0.604989220619665,0.1195795623487668,0.1270774353301318,0.0695408148202605,0.0374704959381332,0.0255552685557198,0.0157872023873225,-2.738366464151909,2366.0
459487,3.0,4144.0,10529.854048058958,0.6070451561730876,0.1666258306952051,0.148436780570635,0.0400697565302364,0.0267555662468569,0.0035735967405114,0.0074933130434673,-18.11206843139098,2336.0
570181,38.0,3844.0,16055.0,0.735757286767776,0.0236134921334716,0.1382788750821978,0.0389232928220438,0.035271908218977,0.0134318214717997,0.0147233235037339,13.299041214515512,2437.0
573450,5.0,4749.0,18561.0,0.7136426514466917,0.07478217337086,0.0862956821731815,0.0993238784279233,0.0113498719392245,0.0041469652262601,0.0104587774158587,-26.342175715894086,2082.0
170042,-21.0,4010.0,4293.465533632136,0.8538079368593731,0.0314178942566287,0.0627255070822099,0.0286910116335583,0.0141000500995599,0.0047073990792019,0.0045502009894678,-45.75935440687644,2188.0
100215,40.99999999995276,4731.0,14399.000000000002,0.66252417876497,0.0600572419166538,0.1027006568013001,0.1274522324150361,0.0190394183364555,0.0203998258873032,0.007826445878281,7.164713632345126,2536.0
96223,49.0,3567.0,11070.0,0.6100973442486846,0.1383861756296408,0.0952722848201333,0.1295252955700254,0.0080754314906573,0.0068534528129407,0.0117900154279178,26.440761940224377,2329.0
250664,10.0,4669.0,17886.72314595909,0.6138515846800743,0.1322151966596553,0.1299296137553901,0.0930970797330094,0.0153012787220156,0.0045254627419033,0.0110797837079519,-15.124724837441365,2344.0
50776,12.0,4658.0,11248.50325713472,0.6188324549797629,0.1499772450666015,0.0757202599016183,0.1081541215509172,0.026250625193427,0.0131964469136021,0.0078688463940711,-10.182028058861874,2560.0
525821,23.000000000000227,4444.0,1519.0,0.6990607859032852,0.1250334356483458,0.083210484089916,0.0444957319660844,0.0165524467533426,0.0131095697894164,0.0185375458496091,-10.055771557778996,2283.0
399,10.0,4028.0,12645.052539541452,0.6910295468686928,0.0558299986793193,0.1425104463508166,0.0649688777179717,0.0054550779721224,0.0206045577131692,0.0196014946979079,-14.207222987859552,2130.0
475642,-17.0,4048.0,2434.0103180835968,0.7696461704763354,0.1228105180503688,0.0337552245937945,0.0485205536875097,0.0186864199742511,0.0055387772915527,0.0010423359261876,-43.79093859479593,2031.0
585952,18.0,4435.0,1141.0,0.6050239410382207,0.0979641500248887,0.1367311172745535,0.1067501035993489,0.0310660190867978,0.015532653644446,0.0069320153317441,-7.637594227585339,2200.0
242234,-6.0,4376.0,21055.13504674997,0.7823144224403803,0.030463750006604,0.0693336376018821,0.099938177088856,0.0107739555655862,0.002079036921748,0.0050970203749433,-30.86242370653332,2238.0
527110,-25.0,4551.0,10058.206392678245,0.8500783304765304,0.0470084530351219,0.0412321309545382,0.0534174896990624,0.0044476290592605,0.0008579536147256,0.0029580131607607,-55.11188448728922,2146.0
418990,-19.0,4018.0,2355.052217894892,0.7426388341315551,0.1124748950591491,0.1021612854424909,0.0365513628610108,0.0017773891902768,0.0024004591980258,0.0019957741174912,-36.53646769244966,2535.0
351024,-23.0,3608.0,9991.451977196484,0.8000974034997177,0.0942299037843603,0.0415465037927749,0.0520497340795681,0.0084815490730346,0.001671372505738,0.0019235332648058,-45.34389428535687,2019.0
461805,-2.0,4722.0,1170.738239962987,0.726553518473267,0.130120876630757,0.0671599391970725,0.0378539633266045,0.0096156983213571,0.0134926195912555,0.0152033844596859,-29.07695910786086,2455.0
516221,15.0,3673.0,16403.0,0.5860024037561135,0.1434221823586683,0.1097005535014305,0.1113431717869114,0.0236200864934511,0.0173515043236763,0.0085600977797484,-5.005043925450138,2140.0
440725,25.9999999997084,3703.0,15265.000000000002,0.7486442308563369,0.0499822263491437,0.0398524087343676,0.1272354716206596,0.0074262033891047,0.0053184375740529,0.0215410214763344,-4.633103009041406,2044.0
35533,-6.0,4042.0,9137.283981106646,0.6572413319205933,0.1720852507811511,0.0857083495614127,0.0686571390665254,0.0096823360531529,0.0031263755002922,0.0034992171168721,-28.31763292243048,2203.0
225534,25.0,3772.0,20083.03907990192,0.5740159280336583,0.0297822753940344,0.193457777554575,0.136673202680164,0.0378984241591902,0.0054470211476774,0.0227253710307004,3.870541064705833,2055.0
495326,40.0,4141.0,6387.0,0.7004812409911287,0.0979383250682726,0.109047036649017,0.0530792128469777,0.0231398080808446,0.0108730429876319,0.0054413333761273,3.62658154420194,2101.0
488681,32.999999999782574,4180.0,2793.0,0.5917066702643651,0.1601927375969444,0.0997214049920767,0.1042342499413321,0.0244551374518776,0.0107239579916034,0.0089658417618003,5.2881273791563785,2495.0
197211,15.0,3675.0,9693.999999999998,0.6284128684838621,0.0928905650970265,0.1010602915344994,0.1268918417531342,0.0261374915868315,0.0051692081197607,0.0194377334248851,0.2056338743943797,2474.0
348031,-23.0,4764.0,7463.83295016205,0.8519547788114392,0.023425681640322,0.0772002492514534,0.030408371624224,0.0110682204122914,0.0032616259556302,0.0026810723046394,-57.075041660801645,2001.0
514395,-17.0,4596.0,19462.290564154275,0.7578641616326711,0.1354717380433895,0.0461132459629952,0.0418970172756592,0.0104224103566903,0.0042775013398983,0.0039539253886964,-45.54740552166567,2252.0
550146,50.0,3663.0,3424.0000000000005,0.7018593792969088,0.0724960614619517,0.0851105252736039,0.0569241530008705,0.0486826934881035,0.0147838286845119,0.0201433587940496,24.20041740696797,2267.0
383637,39.0,4082.0,3523.0,0.5804524209396306,0.1397543447482837,0.1132496630971552,0.112982401937594,0.0237001958425941,0.008965559727546,0.0208954137071962,13.25752442399522,2520.0
338542,-16.0,4635.0,5916.520234890739,0.7518457081331253,0.1140203251536387,0.0743201138585276,0.0457123891768884,0.0086143173485287,0.0029913113317859,0.0024958349975054,-44.87221586221375,2174.0
277142,1.0,3954.0,15992.858250665042,0.7142374459631998,0.0680371544813627,0.128320236998793,0.047234837988882,0.0219530397260351,0.0083238553572663,0.0118934294844608,-22.976706645241933,2096.0
530913,-5.0,4364.0,3862.9553479804695,0.7496910860521032,0.0538127930518806,0.0887452411139476,0.0798619913303904,0.022563607158414,0.0027447948292551,0.0025804864640089,-27.67901516141174,2352.0
509029,50.00000000000188,3980.0,19901.0,0.7016409802188709,0.0684159108990333,0.060938521583242,0.1312940612845163,0.0122781474233888,0.0135675122160889,0.0118648663748594,16.531411885866532,2127.0
585426,-12.0,4642.0,9836.72267399246,0.7976040919680499,0.0522227781021315,0.0663490995370813,0.0604683066907454,0.0147736313195169,0.0052812434324949,0.0033008489499798,-43.487058080995325,2037.0
395319,6.0,3612.0,7596.0,0.6900558845036047,0.0958084233751592,0.0672845115740747,0.1299429827168484,0.0038554139434217,0.0046563053288734,0.0083964785580179,-9.055223615242651,2538.0
77816,-4.0,4307.0,1554.0239743991433,0.7689425929109485,0.0994618141716226,0.034559775615416,0.0477272797958151,0.0271378101479208,0.0097389726167252,0.0124317547415515,-29.668035051499373,2284.0
151320,45.0,4036.0,2158.0,0.6053546824326623,0.0595213531268247,0.1672502977624687,0.0959293897847495,0.0350990296902188,0.0176590919181141,0.0191861552849614,15.676700080389764,2312.0
481895,46.0,4619.0,5891.0,0.7338930201931653,0.0202899421521734,0.1541710385223896,0.0697097443322591,0.0044054587270927,0.0095733322452279,0.0079574638276916,5.195516232947796,2174.0
