,"feed_gas temperature, C","feed_gas mass flow, kg/h",feed_gas CO2 mol frac,feed_gas Methane mol frac,feed_gas Ethane mol frac,feed_gas Propane mol frac,feed_gas i-Butane mol frac,feed_gas n-Butane mol frac,feed_gas i-Pentane mol frac,feed_gas n-Pentane mol frac,feed_gas H2S mol frac,feed_gas H2O mol frac,feed_gas MDEAmine mol frac,"feed_gas molar flow, kgmol/h","feed_gas H2S molar flow, kgmol/h","feed_gas CO2 molar flow, kgmol/h","lean_amine temperature, C","lean_amine mass flow, kg/h",lean_amine CO2 mol frac,lean_amine Methane mol frac,lean_amine Ethane mol frac,lean_amine Propane mol frac,lean_amine i-Butane mol frac,lean_amine n-Butane mol frac,lean_amine i-Pentane mol frac,lean_amine n-Pentane mol frac,lean_amine H2S mol frac,lean_amine H2O mol frac,lean_amine MDEAmine mol frac,"lean_amine molar flow, kgmol/h","lean_amine H2S molar flow, kgmol/h","lean_amine CO2 molar flow, kgmol/h","rich_amine temperature, C","rich_amine mass flow, kg/h",rich_amine molecular weight,rich_amine H2S mol frac,rich_amine CO2 mol frac,"rich_amine molar flow, kgmol/h","rich_amine H2S molar flow, kgmol/h","rich_amine CO2 molar flow, kgmol/h"
452375,58.0,91402.0,0.0150465306666203,0.7173394330043703,0.1175562021225897,0.0183327871754605,0.0934203449451358,0.0128222597290019,0.0019605511581076,0.0086911236518907,0.0132572927641479,0.0015734747826748,0.0,3818.3656187646384,50.62119088851956,57.453155379110726,58.0,248507.0,0.0021581052964672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003158825717931,0.8061991808737689,0.1913268312579706,6639.446639977273,2.097285479919077,14.328624959346309,64.768470553317,252889.00459030576,37.44056576846874,0.0077892406492143,0.0092616978769689,6754.411943296031,52.61174007025999,62.557322755398225
130429,32.0,36902.0,0.0215907230038333,0.7230550872561272,0.0872560635701315,0.0051836772199406,0.0427418447695048,0.0540708912921487,0.0396876404946208,0.0098753318759738,0.0161931229969756,0.0003456175207433,0.0,1466.4874494243138,23.74701164204895,31.662524309118357,54.0,557471.0,0.003310405237084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002161132672749,0.7896076979281162,0.2068657835675248,14283.520247607054,3.0868582288975492,47.28424023167374,54.30807509616926,560692.3620314633,39.00473144536017,0.0018646059921598,0.0052078510820445,14374.98327137337,26.80367994499967,74.86277218419339
476459,36.0,116763.0,0.0103932494810726,0.7071353646078802,0.1140439373276167,0.0045569219390378,0.0356718835560309,0.0818639644720828,0.0012210465221741,0.0066214525103531,0.037439283741604,0.0010528958421475,0.0,4840.036808049129,181.20751137635867,50.3037100436289,50.0,208695.0,0.0044910138426746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001963153940808,0.800722009986585,0.1945906607766595,5518.444000215987,1.0833555086152278,24.78340839499459,59.13184472393687,216986.8034541793,37.72733392901961,0.0316825227513912,0.0112494560368276,5751.4481108688815,182.22038562604925,64.70066267131463
30177,37.0,288258.0,0.0201464269635408,0.6023123870944984,0.1899956903437754,0.0105649017692948,0.0765883985929815,0.042506893291659,0.0288355344869556,0.0047352681857238,0.0237757384445154,0.000538760827055,0.0,10718.793858230943,254.84723921397702,215.9453976020994,36.0,296718.0,0.0029877280654695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003884848588742,0.8621542550284952,0.134469532047161,9360.019506527931,3.636225857053262,27.965192972995478,49.996394632865474,309495.993857562,31.864024876778032,0.026599543175339,0.011397436222389,9713.022603215375,258.36196409727097,110.70355564677001
24794,39.0,213133.0,0.0339085022156354,0.7839418899816002,0.0317428330300649,0.0100711488323784,0.0194504184662527,0.0939530356087867,0.0175309835685588,0.0049657216933667,0.0027683192855089,0.0016671473178468,0.0,8952.753934119142,24.784081374237697,303.57447661111746,59.0,85986.0,0.0024725529172896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000182658365738,0.8062927349583601,0.1910520537586122,2298.6537737511694,0.419868341710875,5.683543094127202,40.69904274673502,89749.69491337723,37.56211034809493,0.0104888730673973,0.0296590576249885,2389.36774535963,25.061774992410434,70.86639564691012
53815,29.0,107772.0,0.0208981209174377,0.6015484555464023,0.15132483953699,0.0603070143959285,0.0868325818042744,0.0286140278880598,0.0324300572887698,0.007121561506656,0.0096206933118007,0.0013026478036803,0.0,3891.388160025845,37.437852044781074,81.32270030490552,51.0,591905.0,0.0016430707117579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002243042521992,0.7996717254732227,0.19846089956282,15521.056405834634,3.4814389504523406,25.502193195969223,49.25093394433321,597780.8422693289,38.13093716567395,0.0026069905608799,0.0062652170222868,15677.056130880002,40.86993735558853,98.22015893053504
88502,22.0,158036.0,0.0342851898414255,0.7284160313804571,0.080757857898176,0.0372358137008004,0.0447817925871219,0.0293789769550646,0.0296732313793728,0.0001942025806245,0.0137536217339161,0.0015232819430407,0.0,6523.235273670111,89.71811043539738,223.650359738063,57.0,247357.0,0.0022627749056264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001314336826185,0.9557387989002274,0.0418669925115275,11086.776274986,1.4571758341888255,25.086879139332456,49.04857079172473,255544.7821226172,22.62747890436126,0.0080667096948755,0.0124062986863558,11293.559622913317,91.10186689980934,140.1112739140304
234680,59.0,105693.0,0.0259377639009618,0.7814195939294961,0.006390476267366,0.0751734920023567,0.0301366557667702,0.0083406708701127,0.03418796154923,0.0085344222810359,0.0292472397735793,0.0006317236590911,0.0,4495.329076396804,131.4759673585201,116.59878424070898,37.0,592253.0,0.0031703923138585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003439018329635,0.8206342673518231,0.1758514385013547,16501.7457671351,5.674980616415438,52.31700794537216,46.69663953814188,602336.3566583773,35.90313101391622,0.008172072029302,0.0093866418213461,16776.708316188604,137.10046877448315,157.47695190526085
439605,51.0,115237.0,0.0332737041941924,0.7197530965982641,0.1061656286366951,0.0529611574137978,0.0264524132090293,0.0079307336570937,0.0408175366714144,0.0048104383330114,0.0074571614971545,0.0003781297893469,0.0,4783.511218945971,35.67141568313049,159.16513730880897,10.0,187038.0,0.0049458318744539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002691055364278,0.9521073912052948,0.0426776713838235,8325.769800196258,2.2405107482561917,41.17785765717633,39.67044580198342,192363.9430648361,22.735243868467105,0.0044774982662681,0.0152884972242574,8461.045950408185,37.88431857376738,129.35667752712985
176630,29.0,140551.0,0.0231753998425411,0.6358296212749076,0.1795971034599365,0.0234223396849999,0.0704296456710585,0.0265159199552636,0.0120636600370759,0.0031769480233511,0.0252033949799948,0.0005859670708704,0.0,5564.6955638835625,140.24922023998232,128.96404469501627,24.0,599153.0,0.00304127232124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002050446249263,0.9932891034229758,0.0034645796308576,32477.818717696926,6.659402157394532,98.77389112038206,27.73048384475908,602289.7820362744,18.481641396599805,0.0028528875170233,0.0026349676095038,32588.543902116933,92.97145009631518,85.8697576229707
71290,39.0,159289.0,0.0072117796014163,0.6098174843614551,0.1698191189015893,0.0165891453238965,0.044346764571258,0.0913658904079661,0.0234133165799477,0.0053504387376953,0.0313159511941666,0.0007701103206089,0.0,5903.300292281216,184.867463837588,42.573300628908555,45.0,275352.0,0.0032319459001772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003011364736075,0.933171411017408,0.0632955066088072,11235.93332098786,3.3835493379712904,36.31392863143111,50.44320681080609,282986.00485498493,24.702642374513967,0.0164258861129414,0.005275722514514,11455.697757538084,188.16998670959876,60.437082578911216
289089,54.0,151602.0,0.0281784149618468,0.65113451121517,0.1552871833857728,0.0751105332955943,0.0398713992520538,0.0153058121625639,0.029025110347935,0.0025888167823879,0.0022465290398984,0.0012516895567768,0.0,6002.893650869262,13.485674910099524,169.1520282660296,37.0,306887.0,0.0028277154640491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001037848445484,0.7999383637529565,0.1971301359384458,8069.6313387435775,0.8375054340543991,22.818621325740455,52.75763681344807,314612.2581945213,38.09792286353473,0.001731668859518,0.0207985343005938,8257.989794389845,14.300103769162346,171.75408399257074
510629,54.0,190801.0,0.0159827615951076,0.7152646332008938,0.080598445948552,0.0028144797939957,0.0203621459386983,0.0996812807996313,0.0175742114663036,0.0087434299729575,0.0372266345335737,0.0017519767502861,0.0,7661.962920242362,285.2290934416555,122.4593267047881,32.0,228080.0,0.0036220400927622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001870605438488,0.8777824748777441,0.1184084244856448,7580.110588065707,1.4179396090376182,27.455464457545247,69.36150282272195,240560.1121250244,30.30324690829175,0.0361047496524274,0.0099996979582627,7938.426956459274,286.6149178970433,79.38187182832338
