,"feed_gas temperature, C","feed_gas mass flow, kg/h",feed_gas CO2 mol frac,feed_gas Methane mol frac,feed_gas Ethane mol frac,feed_gas Propane mol frac,feed_gas i-Butane mol frac,feed_gas n-Butane mol frac,feed_gas i-Pentane mol frac,feed_gas n-Pentane mol frac,feed_gas H2S mol frac,feed_gas H2O mol frac,feed_gas MDEAmine mol frac,"feed_gas molar flow, kgmol/h",feed_gas molecular weight,"lean_amine temperature, C","lean_amine mass flow, kg/h",lean_amine CO2 mol frac,lean_amine Methane mol frac,lean_amine Ethane mol frac,lean_amine Propane mol frac,lean_amine i-Butane mol frac,lean_amine n-Butane mol frac,lean_amine i-Pentane mol frac,lean_amine n-Pentane mol frac,lean_amine H2S mol frac,lean_amine H2O mol frac,lean_amine MDEAmine mol frac,"lean_amine molar flow, kgmol/h",lean_amine molecular weight,"rich_amine temperature, C","rich_amine mass flow, kg/h",rich_amine molecular weight,"rich_amine molar flow, kgmol/h",sweet_gas molecular weight
366797,53.0,17872.0,0.0382408060348427,0.6818125201681483,0.0191704968347349,0.0985007177377347,0.0825004927781508,0.0181113342237909,0.0275496804165312,0.0002128189380683,0.0320608066522455,0.0018403262157522,0.0,673.9589948976904,26.517933784254986,41.0,513882.0,0.0012387124799081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003169548732513,0.8903555975142379,0.1080887351326026,17728.882428684177,28.985583387285168,42.83557678021771,516540.63748995593,29.003986893071247,17809.29771463082,25.631410594731896
197465,16.0,190650.0,0.0263758769453882,0.758544945673637,0.0128236315240438,0.0366784352548566,0.0585222742386873,0.0330090878366268,0.0312306147867974,0.006189402441254,0.035160451847335,0.0014652794513736,0.0,7757.04587918459,24.577655330309952,38.0,652583.0,0.0047618918221955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002626247791804,0.7701431915133451,0.224832291885279,15961.534914211616,40.88472715859939,41.8793435744708,671094.1100866863,40.76422649616919,16462.819677192998,23.7244428470642
328317,53.0,90702.0,0.017601982781818,0.6970454798876805,0.079594108501462,0.0762602841949929,0.0973201645334449,0.0128130860418123,0.0111735015534689,0.0049570764372658,0.0016044888433922,0.0016298272246623,0.0,3576.2158712735354,25.36256290582925,49.0,441232.0,0.0012359702137077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002103194425292,0.810337234979068,0.1882164753646951,11896.70206508419,37.088597964891335,50.42971424621015,444597.9242136575,37.09350502121251,11985.869870194449,25.045847986384867
273809,42.0,10682.0,0.0142712240241147,0.7271736686753237,0.0703732288120522,0.0007265597453687,0.0746105511267567,0.0469915732467513,0.0407418010577922,0.0026499393705756,0.0210183316047895,0.0014431223364751,0.0,420.8315076027153,25.38308041821885,21.0,591419.0,0.0031083415585845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003481823178008,0.8517535105869752,0.1447899655366393,18060.272468557032,32.7469588861221,21.945055817663672,593047.3731797643,32.72558932595776,18121.824095291762,25.19937046951572
12536,45.0,294443.0,0.0126999331385343,0.495904511448708,0.1804130888518464,0.0862010853038007,0.0881088784256421,0.0914998174799076,0.0315359973896724,0.0066110553600941,0.006224516427857,0.0008011161739367,0.0,9449.667044083764,31.159087259518262,39.0,459297.0,0.004147595260543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003786711163555,0.8093967163641062,0.1860770172589952,12430.032854190269,36.95058616399128,47.32752720008807,464953.2973559394,36.951043316995225,12582.954515443662,31.06320446049905
358989,51.0,37850.0,0.010755976870282,0.7007768198048182,0.0093616220051684,0.0963065912594753,0.0853511057586394,0.0753615660591216,0.0041995250579095,0.000270242245925,0.0172138288436107,0.0004027220950493,0.0,1428.2132013490314,26.501645527606417,12.0,243596.0,0.0048011328062462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002614878963955,0.8732307106384446,0.1217066686589135,7998.626445194785,30.454728904903604,20.772148165180223,245355.488352592,30.46553620559441,8053.542425671706,26.280189822629428
366568,36.0,261055.00000000003,0.0263114170565103,0.599735356930281,0.1449679935699045,0.0836324028803334,0.0683638669288367,0.0442327312948625,0.0029758607128092,0.0003590263558315,0.0294078947884955,1.3449482135288182e-05,0.0,9808.923097892131,26.614032691937297,38.0,405940.0,0.0014431376184316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002592931841058,0.8657154057386309,0.1325821634588315,12900.31693686316,31.467443938529183,49.58388865292255,421751.5861426551,31.63972918082412,13329.8102437067,26.1469427588654
118945,31.0,150922.0,0.0122732471045011,0.7206774427902541,0.0005487603616985,0.0440648307895872,0.0540986730303722,0.0935941251150029,0.0289757200467075,0.0052113573815697,0.0388167494697,0.0017390939106063,0.0,5702.33582378687,26.4666979749667,44.0,684203.0,0.0045193300286118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003350130533285,0.785508723967963,0.2096369329500965,17390.895473470857,39.34259745530214,46.95399569658383,695395.4795331475,39.25797907146422,17713.481335024084,25.9732369436809
288414,23.0,125410.0,0.0208653742153256,0.6052751685269431,0.1236064869029229,0.0832151512542839,0.0829353871949037,0.0278131185933971,0.0194685549473805,0.005508642494778,0.029416148712196,0.0018959671578688,0.0,4595.326236364684,27.2907718732959,37.0,73081.0,0.0043631338531306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002546014533074,0.8355869855482145,0.1597952791453473,2130.8999809211186,34.295837746645184,34.580937124517106,81179.42110185439,34.56433513682407,2348.646973260239,26.798276480831312
22334,28.0,55507.0,0.0231880475958178,0.6047356201832169,0.1623591364163817,0.0167107201661333,0.0804819663829489,0.0170052016041366,0.0477053996097285,0.0074319941852123,0.0396483576948514,0.0007335561615722,0.0,2029.501575724915,27.350064993259995,47.0,206047.0,0.0016634644545733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001688015432809,0.8970772233307458,0.1010905106713997,7284.317295023514,28.28638452374484,47.85698264828545,210682.79102670008,28.42277520948435,7412.463753940456,26.75523815808973
